,userId,tokenAmount
8344,0x02e9c9892958728cff30203c12b2263777a793d9,100000
8598,0x030138d2f5f2757daae2fbb8dfd18870ea908881,100000
8635,0x03050ad143af4c7938488511d751263b29d7abff,100000
8654,0x030671101935cdd1d95f834f8f77e0c4d4f146e6,100000
8669,0x0308794cbd50174be3401e08e352960b2e39b9d0,100000
8748,0x03104c9661f97a1a882a797964f46d968d518126,100000
8781,0x0313611f7f4af674695dacddc92352ad5e3d9053,100000
8838,0x0318c749eda70facfecba718093ead029e632fae,100000
9437,0x035221cf1bdccd8100531b6b6dcc06fa806a88ba,100000
9588,0x035e4e1558d0382caa3826df8d4c0c14ce0b81f9,100000
9911,0x037d462df1e10d6c4a1c629bebed89d4bc151e6b,100000
10320,0x03a13b51afedaac32fd63092c0dc75e00536096d,100000
10383,0x03a673e4a53120a0f6f57e49b202f38553917136,100000
10411,0x03aa1134143a3c0163fa0f73d8108f5ac88253be,100000
10611,0x03bbcec99a1d7837568767ed77b54f53bc4c4d90,100000
10760,0x03cb1582f03bb7c909f766dfbd4830e1e4065a81,100000
11147,0x03f3344a01a7697db1ec51066ed43cc080483a73,100000
11561,0x041a97c9b83744bcddcbe0876fb76aad36e75534,100000
11582,0x041c014b275fcd76466dccbc6f1ac17e351897eb,100000
11625,0x041fa6a56cc203b210dbad9ee45dc08c1f88aba3,100000
11864,0x043951150857e82d8f59bcabf1cf4ef99fb9ae03,100000
11883,0x043ac44f8cec7e359a31415f1e54459a8c2599a0,100000
12193,0x0459560393f91e13755c0aff82564daf199dca64,100000
12392,0x046d05c025aa76452bafc566ff69ef65c06973df,100000
12447,0x04722123cc98c8a78f4d2851d2b363561af99edf,100000
12606,0x048039b1dc0e9ef2f027e755ed5c42e2556703ed,100000
12609,0x048093338957ead2abeee66b1fe838766658471f,100000
12621,0x0481b236f191877619523ee309c82b3574214597,100000
12632,0x0482b7c6ea6d9d8879730981057612985956413c,100000
12671,0x0485ab090b6cfe640aef8c9b227d11f9babe6280,100000
12856,0x0496f6b6a376d1aa3e1db8e6fcb333f3246bcb54,100000
12964,0x04a2648894bb5c81f39ddf748eeab259fca4137e,100000
13048,0x04a8c06ac6d06f25c657fe61106a485d2583be71,100000
13050,0x04a8d902a230d2fdebc03c48844be75a72b05011,100000
13325,0x04c17d923fd9f18f2399e9589ab80ab62f85b407,100000
13358,0x04c4a90801d1ef5ae8576a0a5bdd8eeab362a644,100000
13398,0x04c8849418e8608cbf6c3f48417ed1947ee757ff,100000
13689,0x04e57f72319d531b87523306258adfbd353f0c3a,100000
13862,0x04f4cb364e8e9d646539b3ad3d6d829dac3eab09,100000
13948,0x04fc124e9b586d7e23a5fef428bcca7452809e71,100000
14085,0x05085632e3b53660da9fa88c64bdb22356d4af2c,100000
